comment_id,status_id,parent_id,comment_message,comment_author,comment_published,num_reactions,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special
10156015144969781_10156112412294781,122150409780_10156015144969781,,"And is ranked last for conservative students... because, tolerance! #gregorylu",0,2017-12-26 15:44:09,0,0,0,0,0,0,0,0
10156012988474781_10156013077304781,122150409780_10156012988474781,,Duh.,0,2017-11-20 17:50:31,0,0,0,0,0,0,0,0
10156012988474781_10156013078189781,122150409780_10156012988474781,10156012988474781_10156013077304781,(jk),0,2017-11-20 17:50:47,0,0,0,0,0,0,0,0
10156012988474781_10156016115719781,122150409780_10156012988474781,,"Eventually you will die, however. Guaranteed.",0,2017-11-21 21:59:23,0,0,0,0,0,0,0,0
10156004571684781_10156005810229781,122150409780_10156004571684781,,Dora Trieu hi,0,2017-11-18 03:43:46,3,3,0,0,0,0,0,0
10156004571684781_10156005790199781,122150409780_10156004571684781,,Shriya Ghosh you better had free cake or imma kill u,0,2017-11-18 03:20:34,1,0,0,0,0,0,1,0
10156004571684781_10156006722139781,122150409780_10156004571684781,10156004571684781_10156005790199781,.... I go to UCD -_- and i don't eat cake....,0,2017-11-18 11:27:41,1,0,0,0,0,1,0,0
10156004571684781_10156006832799781,122150409780_10156004571684781,10156004571684781_10156005790199781,"Oh my god, I read Diego as Davis lol so dumb",0,2017-11-18 12:24:41,1,0,0,0,1,0,0,0
10156004571684781_10156006833314781,122150409780_10156004571684781,10156004571684781_10156005790199781,WHO DOESNT EAT CAKE???,0,2017-11-18 12:24:52,1,0,0,0,0,1,0,0
10156004571684781_10156006937854781,122150409780_10156004571684781,10156004571684781_10156005790199781,Kriti Singh itss okieee,0,2017-11-18 13:16:57,0,0,0,0,0,0,0,0
10156004571684781_10156006938669781,122150409780_10156004571684781,10156004571684781_10156005790199781,Kriti Singh me....lol stop judging meee,0,2017-11-18 13:17:13,0,0,0,0,0,0,0,0
10156004571684781_10156005325784781,122150409780_10156004571684781,,Bailey Na Ranong we missed the free cake ☹️,0,2017-11-17 22:31:59,2,1,0,0,0,1,0,0
